"","ensembl_gene_id_version","ensembl_gene_id","external_gene_name"
"5612","ENSMMUG00000016660.4","ENSMMUG00000016660","TRIML1"
"5613","ENSMMUG00000016719.3","ENSMMUG00000016719","CHCHD6"
"5614","ENSMMUG00000016720.4","ENSMMUG00000016720","PLXNA1"
"5615","ENSMMUG00000016747.4","ENSMMUG00000016747","ENPP6"
"5616","ENSMMUG00000016754.4","ENSMMUG00000016754","TLR1"
"5617","ENSMMUG00000016767.4","ENSMMUG00000016767","GALNTL6"
"5618","ENSMMUG00000016770.3","ENSMMUG00000016770","SLC13A1"
"5619","ENSMMUG00000016793.4","ENSMMUG00000016793","TMCC1"
"5620","ENSMMUG00000016803.4","ENSMMUG00000016803","SCRN1"
"5621","ENSMMUG00000016817.4","ENSMMUG00000016817","SOSTDC1"
"5622","ENSMMUG00000016831.4","ENSMMUG00000016831","DGKI"
"5623","ENSMMUG00000016833.4","ENSMMUG00000016833","CREB3L2"
"5624","ENSMMUG00000016842.4","ENSMMUG00000016842",""
"5625","ENSMMUG00000016880.4","ENSMMUG00000016880","SLC39A8"
"5626","ENSMMUG00000016901.4","ENSMMUG00000016901","DPPA4"
"5627","ENSMMUG00000016919.4","ENSMMUG00000016919","GAK"
"5628","ENSMMUG00000016921.4","ENSMMUG00000016921","CYTL1"
"5629","ENSMMUG00000016922.4","ENSMMUG00000016922","STK32B"
"5630","ENSMMUG00000016936.4","ENSMMUG00000016936","MPP6"
"5631","ENSMMUG00000016938.4","ENSMMUG00000016938","GSDME"
"5632","ENSMMUG00000016939.4","ENSMMUG00000016939","OSBPL3"
"5633","ENSMMUG00000016949.4","ENSMMUG00000016949","MAP9"
"5634","ENSMMUG00000016959.4","ENSMMUG00000016959",""
"5635","ENSMMUG00000016971.4","ENSMMUG00000016971","GLYCTK"
"5636","ENSMMUG00000016974.4","ENSMMUG00000016974","DNAH1"
"5637","ENSMMUG00000016982.4","ENSMMUG00000016982","BAP1"
"5638","ENSMMUG00000016984.4","ENSMMUG00000016984","PHF7"
"5639","ENSMMUG00000016999.4","ENSMMUG00000016999","KIAA0232"
"5640","ENSMMUG00000017000.4","ENSMMUG00000017000","TBC1D14"
"5641","ENSMMUG00000017001.4","ENSMMUG00000017001","CCDC96"
"5642","ENSMMUG00000017004.4","ENSMMUG00000017004","PPA2"
"5643","ENSMMUG00000017008.4","ENSMMUG00000017008","GIMAP2"
"5644","ENSMMUG00000017020.4","ENSMMUG00000017020","MRM2"
"5645","ENSMMUG00000017041.4","ENSMMUG00000017041","ANKMY2"
"5646","ENSMMUG00000017045.4","ENSMMUG00000017045","BZW2"
"5647","ENSMMUG00000017049.4","ENSMMUG00000017049","TSPAN13"
"5648","ENSMMUG00000017050.4","ENSMMUG00000017050","AGR2"
"5649","ENSMMUG00000017056.4","ENSMMUG00000017056","SUN1"
"5650","ENSMMUG00000017058.3","ENSMMUG00000017058","UNCX"
"5651","ENSMMUG00000017063.4","ENSMMUG00000017063","GET4"
"5652","ENSMMUG00000017064.4","ENSMMUG00000017064","ADAP1"
"5653","ENSMMUG00000017106.4","ENSMMUG00000017106","POU6F2"
"5654","ENSMMUG00000017108.4","ENSMMUG00000017108","MTPN"
"5655","ENSMMUG00000017125.4","ENSMMUG00000017125","OSBPL11"
"5656","ENSMMUG00000017159.4","ENSMMUG00000017159","KRBA1"
"5657","ENSMMUG00000017221.4","ENSMMUG00000017221","TMEM175"
"5658","ENSMMUG00000017222.4","ENSMMUG00000017222","DGKQ"
"5659","ENSMMUG00000017223.4","ENSMMUG00000017223","SLC26A1"
"5660","ENSMMUG00000017232.4","ENSMMUG00000017232","BMPER"
"5661","ENSMMUG00000017270.4","ENSMMUG00000017270",""
"5662","ENSMMUG00000017307.4","ENSMMUG00000017307","THUMPD3"
"5663","ENSMMUG00000017311.4","ENSMMUG00000017311","VPS50"
"5664","ENSMMUG00000017321.3","ENSMMUG00000017321","NDUFA5"
"5665","ENSMMUG00000017342.4","ENSMMUG00000017342","KLHL2"
"5666","ENSMMUG00000017343.4","ENSMMUG00000017343","GK3P"
"5667","ENSMMUG00000017351.4","ENSMMUG00000017351","STAB1"
"5668","ENSMMUG00000017360.4","ENSMMUG00000017360","NT5DC2"
"5669","ENSMMUG00000017361.4","ENSMMUG00000017361","PBRM1"
"5670","ENSMMUG00000017366.4","ENSMMUG00000017366","TRIM56"
"5671","ENSMMUG00000017370.4","ENSMMUG00000017370","SPCS1"
"5672","ENSMMUG00000017382.4","ENSMMUG00000017382","BLVRA"
"5673","ENSMMUG00000017393.4","ENSMMUG00000017393","SCFD2"
"5674","ENSMMUG00000017395.4","ENSMMUG00000017395","PDGFRA"
"5675","ENSMMUG00000017401.4","ENSMMUG00000017401","LNX1"
"5676","ENSMMUG00000017436.4","ENSMMUG00000017436","ST3GAL6"
"5677","ENSMMUG00000017438.4","ENSMMUG00000017438","DCBLD2"
"5678","ENSMMUG00000017457.4","ENSMMUG00000017457","PIGG"
"5679","ENSMMUG00000017501.4","ENSMMUG00000017501","NAAA"
"5680","ENSMMUG00000017503.4","ENSMMUG00000017503","SDAD1"
"5681","ENSMMUG00000017505.4","ENSMMUG00000017505","TTC3"
"5682","ENSMMUG00000017510.4","ENSMMUG00000017510","MAGI1"
"5683","ENSMMUG00000017541.4","ENSMMUG00000017541","CUL1"
"5684","ENSMMUG00000017542.4","ENSMMUG00000017542","UBE2H"
"5685","ENSMMUG00000017570.4","ENSMMUG00000017570","DTX2"
"5686","ENSMMUG00000017575.4","ENSMMUG00000017575","PUS7"
"5687","ENSMMUG00000017605.4","ENSMMUG00000017605","MRPL39"
"5688","ENSMMUG00000017630.4","ENSMMUG00000017630","RELL1"
"5689","ENSMMUG00000017640.4","ENSMMUG00000017640","GIMAP7"
"5690","ENSMMUG00000017652.4","ENSMMUG00000017652","OLIG2"
"5691","ENSMMUG00000017659.4","ENSMMUG00000017659","FBLN2"
"5692","ENSMMUG00000017670.4","ENSMMUG00000017670","PACRGL"
"5693","ENSMMUG00000017675.3","ENSMMUG00000017675","AUTS2"
"5694","ENSMMUG00000017703.4","ENSMMUG00000017703","COL25A1"
"5695","ENSMMUG00000017721.4","ENSMMUG00000017721","GALNTL5"
"5696","ENSMMUG00000017733.4","ENSMMUG00000017733","ATP8A1"
"5697","ENSMMUG00000017761.4","ENSMMUG00000017761","ZNF518B"
"5698","ENSMMUG00000017762.4","ENSMMUG00000017762","CLNK"
"5699","ENSMMUG00000017768.4","ENSMMUG00000017768","PPID"
"5700","ENSMMUG00000017780.4","ENSMMUG00000017780","TRMT10C"
"5701","ENSMMUG00000017782.4","ENSMMUG00000017782","PCNP"
"5702","ENSMMUG00000017788.4","ENSMMUG00000017788","HOPX"
"5703","ENSMMUG00000017828.4","ENSMMUG00000017828","SETMAR"
"5704","ENSMMUG00000017831.4","ENSMMUG00000017831","TET2"
"5705","ENSMMUG00000017834.4","ENSMMUG00000017834","SGMS2"
"5706","ENSMMUG00000017872.4","ENSMMUG00000017872","RIOX2"
"5707","ENSMMUG00000017903.4","ENSMMUG00000017903","NEK4"
"5708","ENSMMUG00000017911.4","ENSMMUG00000017911","LARP7"
"5709","ENSMMUG00000017912.4","ENSMMUG00000017912","KCTD8"
"5710","ENSMMUG00000017977.4","ENSMMUG00000017977","ADAMTS3"
"5711","ENSMMUG00000017983.4","ENSMMUG00000017983","TRNT1"
"5712","ENSMMUG00000017986.4","ENSMMUG00000017986","CRBN"
"5713","ENSMMUG00000018043.4","ENSMMUG00000018043","RIPK4"
"5714","ENSMMUG00000018046.4","ENSMMUG00000018046","PRDM15"
"5715","ENSMMUG00000018050.4","ENSMMUG00000018050","MTNR1A"
"5716","ENSMMUG00000018051.4","ENSMMUG00000018051","FAT1"
"5717","ENSMMUG00000018053.4","ENSMMUG00000018053","ZBTB21"
"5718","ENSMMUG00000018057.4","ENSMMUG00000018057","UMODL1"
"5719","ENSMMUG00000018058.4","ENSMMUG00000018058","ABCG1"
"5720","ENSMMUG00000018064.4","ENSMMUG00000018064","CDK13"
"5721","ENSMMUG00000018067.4","ENSMMUG00000018067","FAM184B"
"5722","ENSMMUG00000018070.4","ENSMMUG00000018070","NCAPG"
"5723","ENSMMUG00000018073.4","ENSMMUG00000018073","LCORL"
"5724","ENSMMUG00000018079.4","ENSMMUG00000018079","TMPRSS3"
"5725","ENSMMUG00000018081.4","ENSMMUG00000018081","UBASH3A"
"5726","ENSMMUG00000018084.4","ENSMMUG00000018084","RSPH1"
"5727","ENSMMUG00000018085.4","ENSMMUG00000018085","SLC37A1"
"5728","ENSMMUG00000018131.4","ENSMMUG00000018131","DYRK1A"
"5729","ENSMMUG00000018136.4","ENSMMUG00000018136","KCNJ6"
"5730","ENSMMUG00000018184.4","ENSMMUG00000018184","NAA15"
"5731","ENSMMUG00000018186.3","ENSMMUG00000018186","SOWAHB"
"5732","ENSMMUG00000018259.4","ENSMMUG00000018259","MKLN1"
"5733","ENSMMUG00000018260.4","ENSMMUG00000018260","PODXL"
"5734","ENSMMUG00000018261.4","ENSMMUG00000018261","DNAAF5"
"5735","ENSMMUG00000018272.4","ENSMMUG00000018272","GRIA2"
"5736","ENSMMUG00000018280.4","ENSMMUG00000018280","JAGN1"
"5737","ENSMMUG00000018281.4","ENSMMUG00000018281","IL17RE"
"5738","ENSMMUG00000018282.4","ENSMMUG00000018282","IL17RC"
"5739","ENSMMUG00000018285.4","ENSMMUG00000018285","CRELD1"
"5740","ENSMMUG00000018289.4","ENSMMUG00000018289","PRRT3"
"5741","ENSMMUG00000018290.4","ENSMMUG00000018290","EMC3"
"5742","ENSMMUG00000018321.4","ENSMMUG00000018321","RPN1"
"5743","ENSMMUG00000018384.4","ENSMMUG00000018384","SMAD1"
"5744","ENSMMUG00000018401.3","ENSMMUG00000018401","LAMTOR4"
"5745","ENSMMUG00000018402.4","ENSMMUG00000018402","TRAPPC14"
"5746","ENSMMUG00000018404.4","ENSMMUG00000018404","GAL3ST4"
"5747","ENSMMUG00000018405.4","ENSMMUG00000018405","STAG3"
"5748","ENSMMUG00000018417.4","ENSMMUG00000018417","LRTM1"
"5749","ENSMMUG00000018445.4","ENSMMUG00000018445","WNT7A"
"5750","ENSMMUG00000018446.4","ENSMMUG00000018446","FGD5"
"5751","ENSMMUG00000018478.4","ENSMMUG00000018478","IRF5"
"5752","ENSMMUG00000018490.4","ENSMMUG00000018490","ARFIP1"
"5753","ENSMMUG00000018493.4","ENSMMUG00000018493","FHDC1"
"5754","ENSMMUG00000018494.4","ENSMMUG00000018494","PROK2"
"5755","ENSMMUG00000018536.4","ENSMMUG00000018536","NPFFR2"
"5756","ENSMMUG00000018544.4","ENSMMUG00000018544","SKAP2"
"5757","ENSMMUG00000018549.4","ENSMMUG00000018549","ZNF786"
"5758","ENSMMUG00000018617.4","ENSMMUG00000018617","ARF4"
"5759","ENSMMUG00000018619.4","ENSMMUG00000018619","DENND6A"
"5760","ENSMMUG00000018625.3","ENSMMUG00000018625","NIPAL1"
"5761","ENSMMUG00000018628.4","ENSMMUG00000018628","TEC"
"5762","ENSMMUG00000018652.4","ENSMMUG00000018652","HGF"
"5763","ENSMMUG00000018661.4","ENSMMUG00000018661","SEC61A1"
"5764","ENSMMUG00000018662.4","ENSMMUG00000018662","RUVBL1"
"5765","ENSMMUG00000018663.4","ENSMMUG00000018663","EEFSEC"
"5766","ENSMMUG00000018707.4","ENSMMUG00000018707","ZNF746"
"5767","ENSMMUG00000018738.4","ENSMMUG00000018738","ADH1B"
"5768","ENSMMUG00000018743.4","ENSMMUG00000018743","USP25"
"5769","ENSMMUG00000018811.4","ENSMMUG00000018811","GSTCD"
"5770","ENSMMUG00000018821.4","ENSMMUG00000018821","REST"
"5771","ENSMMUG00000018832.4","ENSMMUG00000018832",""
"5772","ENSMMUG00000018842.4","ENSMMUG00000018842","GTF2IRD1"
"5773","ENSMMUG00000018872.4","ENSMMUG00000018872","SEMA3G"
"5774","ENSMMUG00000018920.4","ENSMMUG00000018920","ACTR3B"
"5775","ENSMMUG00000018939.4","ENSMMUG00000018939","LRRC66"
"5776","ENSMMUG00000018943.4","ENSMMUG00000018943","SPATA18"
"5777","ENSMMUG00000019005.4","ENSMMUG00000019005","TTYH3"
"5778","ENSMMUG00000019015.4","ENSMMUG00000019015","HECW1"
"5779","ENSMMUG00000019022.4","ENSMMUG00000019022","STK17A"
"5780","ENSMMUG00000019023.4","ENSMMUG00000019023","COA1"
"5781","ENSMMUG00000019040.4","ENSMMUG00000019040","HSD17B13"
"5782","ENSMMUG00000019041.4","ENSMMUG00000019041","HSD17B11"
"5783","ENSMMUG00000019043.4","ENSMMUG00000019043","NUDT9"
"5784","ENSMMUG00000019047.4","ENSMMUG00000019047","SPARCL1"
"5785","ENSMMUG00000019083.4","ENSMMUG00000019083","SLC9B2"
"5786","ENSMMUG00000019085.4","ENSMMUG00000019085","BDH2"
"5787","ENSMMUG00000019089.4","ENSMMUG00000019089","CENPE"
"5788","ENSMMUG00000019092.4","ENSMMUG00000019092","IL15"
"5789","ENSMMUG00000019104.4","ENSMMUG00000019104","FAM200A"
"5790","ENSMMUG00000019109.4","ENSMMUG00000019109",""
"5791","ENSMMUG00000019125.4","ENSMMUG00000019125","SLC26A4"
"5792","ENSMMUG00000019157.3","ENSMMUG00000019157","ASNS"
"5793","ENSMMUG00000019181.4","ENSMMUG00000019181","GRIFIN"
"5794","ENSMMUG00000019191.4","ENSMMUG00000019191","CPSF4"
"5795","ENSMMUG00000019239.4","ENSMMUG00000019239","TBC1D19"
"5796","ENSMMUG00000019262.4","ENSMMUG00000019262","CACNA1D"
"5797","ENSMMUG00000019266.4","ENSMMUG00000019266","CHDH"
"5798","ENSMMUG00000019267.4","ENSMMUG00000019267","IL17RB"
"5799","ENSMMUG00000019269.4","ENSMMUG00000019269","ACTR8"
"5800","ENSMMUG00000019358.4","ENSMMUG00000019358","AHCYL2"
"5801","ENSMMUG00000019359.4","ENSMMUG00000019359","STRIP2"
"5802","ENSMMUG00000019377.4","ENSMMUG00000019377","CPA4"
"5803","ENSMMUG00000019386.4","ENSMMUG00000019386","MUC7"
"5804","ENSMMUG00000019393.4","ENSMMUG00000019393","TNS3"
"5805","ENSMMUG00000019445.4","ENSMMUG00000019445","KPNA7"
"5806","ENSMMUG00000019473.4","ENSMMUG00000019473","AADAT"
"5807","ENSMMUG00000019563.4","ENSMMUG00000019563","CRMP1"
"5808","ENSMMUG00000019571.4","ENSMMUG00000019571","TIAM1"
"5809","ENSMMUG00000019593.4","ENSMMUG00000019593","SYPL1"
"5810","ENSMMUG00000019657.3","ENSMMUG00000019657","ABHD14B"
"5811","ENSMMUG00000019724.4","ENSMMUG00000019724","SDK1"
"5812","ENSMMUG00000019776.4","ENSMMUG00000019776","MDFIC"
"5813","ENSMMUG00000019784.4","ENSMMUG00000019784","SEPSECS"
"5814","ENSMMUG00000019799.4","ENSMMUG00000019799","GP9"
"5815","ENSMMUG00000019802.4","ENSMMUG00000019802","FAM133B"
"5816","ENSMMUG00000019810.3","ENSMMUG00000019810","CCDC12"
"5817","ENSMMUG00000019813.4","ENSMMUG00000019813","NBEAL2"
"5818","ENSMMUG00000019832.4","ENSMMUG00000019832",""
"5819","ENSMMUG00000019855.4","ENSMMUG00000019855","OR2F1"
"5820","ENSMMUG00000019856.3","ENSMMUG00000019856",""
"5821","ENSMMUG00000019859.4","ENSMMUG00000019859","PRKG2"
"5822","ENSMMUG00000019901.4","ENSMMUG00000019901","SEPTIN11"
"5823","ENSMMUG00000019904.4","ENSMMUG00000019904","CCNI"
"5824","ENSMMUG00000019907.4","ENSMMUG00000019907","PAPSS1"
"5825","ENSMMUG00000019932.4","ENSMMUG00000019932","IRAK2"
"5826","ENSMMUG00000019933.4","ENSMMUG00000019933",""
"5827","ENSMMUG00000019936.4","ENSMMUG00000019936","SEC13"
"5828","ENSMMUG00000019937.4","ENSMMUG00000019937","MGAM2"
"5829","ENSMMUG00000019938.4","ENSMMUG00000019938","ATP2B2"
"5830","ENSMMUG00000019945.4","ENSMMUG00000019945","FGFR3"
"5831","ENSMMUG00000019948.4","ENSMMUG00000019948","LETM1"
"5832","ENSMMUG00000019963.4","ENSMMUG00000019963","ADGRA3"
"5833","ENSMMUG00000019977.4","ENSMMUG00000019977","MYH15"
"5834","ENSMMUG00000019978.4","ENSMMUG00000019978","HHLA2"
"5835","ENSMMUG00000019983.3","ENSMMUG00000019983","IL6"
"5836","ENSMMUG00000019991.4","ENSMMUG00000019991","DDC"
"5837","ENSMMUG00000019992.4","ENSMMUG00000019992","GRB10"
"5838","ENSMMUG00000020013.4","ENSMMUG00000020013","RAD18"
"5839","ENSMMUG00000020014.4","ENSMMUG00000020014","SRGAP3"
"5840","ENSMMUG00000020024.4","ENSMMUG00000020024","NIT2"
"5841","ENSMMUG00000020025.4","ENSMMUG00000020025","TOMM70"
"5842","ENSMMUG00000020026.4","ENSMMUG00000020026","TBC1D23"
"5843","ENSMMUG00000020043.4","ENSMMUG00000020043","MORC3"
"5844","ENSMMUG00000020050.4","ENSMMUG00000020050",""
"5845","ENSMMUG00000020086.4","ENSMMUG00000020086","POR"
"5846","ENSMMUG00000020088.4","ENSMMUG00000020088","STYXL1"
"5847","ENSMMUG00000020089.4","ENSMMUG00000020089","RBM11"
"5848","ENSMMUG00000020090.4","ENSMMUG00000020090","ABCC13"
"5849","ENSMMUG00000020091.4","ENSMMUG00000020091","HSPA13"
"5850","ENSMMUG00000020116.4","ENSMMUG00000020116","GNAI2"
"5851","ENSMMUG00000020117.4","ENSMMUG00000020117","SEMA3B"
"5852","ENSMMUG00000020119.4","ENSMMUG00000020119","IFRD2"
"5853","ENSMMUG00000020120.4","ENSMMUG00000020120","NAA80"
"5854","ENSMMUG00000020121.4","ENSMMUG00000020121","HYAL1"
"5855","ENSMMUG00000020139.4","ENSMMUG00000020139","ZNF789"
"5856","ENSMMUG00000020140.4","ENSMMUG00000020140","ZNF394"
"5857","ENSMMUG00000020141.4","ENSMMUG00000020141","ZKSCAN5"
"5858","ENSMMUG00000020183.4","ENSMMUG00000020183","TRIL"
"5859","ENSMMUG00000020184.4","ENSMMUG00000020184","CPVL"
"5860","ENSMMUG00000020203.4","ENSMMUG00000020203","NSG1"
"5861","ENSMMUG00000020204.4","ENSMMUG00000020204","STX18"
"5862","ENSMMUG00000020242.4","ENSMMUG00000020242","NPY5R"
"5863","ENSMMUG00000020271.4","ENSMMUG00000020271",""
"5864","ENSMMUG00000020312.3","ENSMMUG00000020312","TMPRSS11F"
"5865","ENSMMUG00000020317.4","ENSMMUG00000020317","SLC7A11"
"5866","ENSMMUG00000020321.4","ENSMMUG00000020321","USP42"
"5867","ENSMMUG00000020324.4","ENSMMUG00000020324","SMIM14"
"5868","ENSMMUG00000020330.4","ENSMMUG00000020330","FBXW7"
"5869","ENSMMUG00000020332.4","ENSMMUG00000020332",""
"5870","ENSMMUG00000020334.4","ENSMMUG00000020334","PROS1"
"5871","ENSMMUG00000020335.4","ENSMMUG00000020335","ARL13B"
"5872","ENSMMUG00000020337.4","ENSMMUG00000020337","NSUN3"
"5873","ENSMMUG00000020349.4","ENSMMUG00000020349","SEL1L3"
"5874","ENSMMUG00000020408.4","ENSMMUG00000020408","HPGD"
"5875","ENSMMUG00000020418.4","ENSMMUG00000020418","DGKB"
"5876","ENSMMUG00000020435.4","ENSMMUG00000020435","AOC1"
"5877","ENSMMUG00000020436.4","ENSMMUG00000020436","KCNH2"
"5878","ENSMMUG00000020437.4","ENSMMUG00000020437","NOS3"
"5879","ENSMMUG00000020442.4","ENSMMUG00000020442","ABCB8"
"5880","ENSMMUG00000020451.4","ENSMMUG00000020451","CDK5"
"5881","ENSMMUG00000020456.4","ENSMMUG00000020456","SLC4A2"
"5882","ENSMMUG00000020459.4","ENSMMUG00000020459","FASTK"
"5883","ENSMMUG00000020466.4","ENSMMUG00000020466","TMUB1"
"5884","ENSMMUG00000020547.4","ENSMMUG00000020547","PARP15"
"5885","ENSMMUG00000020565.4","ENSMMUG00000020565","CBR1"
"5886","ENSMMUG00000020579.4","ENSMMUG00000020579","GNGT1"
"5887","ENSMMUG00000020581.4","ENSMMUG00000020581","TFPI2"
"5888","ENSMMUG00000020587.4","ENSMMUG00000020587","POT1"
"5889","ENSMMUG00000020609.4","ENSMMUG00000020609","NOBOX"
"5890","ENSMMUG00000020639.4","ENSMMUG00000020639",""
"5891","ENSMMUG00000020641.4","ENSMMUG00000020641","ZBTB20"
"5892","ENSMMUG00000020654.3","ENSMMUG00000020654","GET1"
"5893","ENSMMUG00000020692.4","ENSMMUG00000020692","RAB33B"
"5894","ENSMMUG00000020716.3","ENSMMUG00000020716",""
"5895","ENSMMUG00000020740.4","ENSMMUG00000020740","ATP6V1A"
"5896","ENSMMUG00000020803.4","ENSMMUG00000020803","SAMD9L"
"5897","ENSMMUG00000020856.4","ENSMMUG00000020856","SPON2"
"5898","ENSMMUG00000020860.4","ENSMMUG00000020860","EVC2"
"5899","ENSMMUG00000020861.4","ENSMMUG00000020861","EVC"
"5900","ENSMMUG00000020894.4","ENSMMUG00000020894","NDUFA4"
"5901","ENSMMUG00000020895.4","ENSMMUG00000020895","PHF14"
"5902","ENSMMUG00000020903.3","ENSMMUG00000020903","CXCL10"
"5903","ENSMMUG00000020907.4","ENSMMUG00000020907","ART3"
"5904","ENSMMUG00000020910.4","ENSMMUG00000020910","NUP54"
"5905","ENSMMUG00000020913.4","ENSMMUG00000020913","SCARB2"
"5906","ENSMMUG00000020914.4","ENSMMUG00000020914","STBD1"
"5907","ENSMMUG00000020916.4","ENSMMUG00000020916","CCDC158"
"5908","ENSMMUG00000020919.4","ENSMMUG00000020919","SHROOM3"
"5909","ENSMMUG00000020931.4","ENSMMUG00000020931","ABHD18"
"5910","ENSMMUG00000020940.4","ENSMMUG00000020940","TMEM33"
"5911","ENSMMUG00000020954.4","ENSMMUG00000020954","CDC25A"
"5912","ENSMMUG00000020979.4","ENSMMUG00000020979","INKA1"
"5913","ENSMMUG00000020980.4","ENSMMUG00000020980","UBA7"
"5914","ENSMMUG00000021008.4","ENSMMUG00000021008","ASB14"
"5915","ENSMMUG00000021017.4","ENSMMUG00000021017","AGK"
"5916","ENSMMUG00000021074.4","ENSMMUG00000021074","RASGEF1B"
"5917","ENSMMUG00000021075.4","ENSMMUG00000021075",""
"5918","ENSMMUG00000021089.4","ENSMMUG00000021089","SFRP4"
"5919","ENSMMUG00000021093.4","ENSMMUG00000021093","IL2"
"5920","ENSMMUG00000021117.4","ENSMMUG00000021117","SETD2"
"5921","ENSMMUG00000021135.4","ENSMMUG00000021135","SLC34A2"
"5922","ENSMMUG00000021147.4","ENSMMUG00000021147","RBM46"
"5923","ENSMMUG00000021161.4","ENSMMUG00000021161","NKX6-1"
"5924","ENSMMUG00000021162.4","ENSMMUG00000021162","CDS1"
"5925","ENSMMUG00000021164.4","ENSMMUG00000021164","WDFY3"
"5926","ENSMMUG00000021186.4","ENSMMUG00000021186","ANLN"
"5927","ENSMMUG00000021205.4","ENSMMUG00000021205","CFAP20DC"
"5928","ENSMMUG00000021223.4","ENSMMUG00000021223","RRH"
"5929","ENSMMUG00000021225.4","ENSMMUG00000021225","GAR1"
"5930","ENSMMUG00000021226.4","ENSMMUG00000021226",""
"5931","ENSMMUG00000021235.4","ENSMMUG00000021235","VKORC1L1"
"5932","ENSMMUG00000021236.4","ENSMMUG00000021236",""
"5933","ENSMMUG00000021241.4","ENSMMUG00000021241","CNTN3"
"5934","ENSMMUG00000021248.4","ENSMMUG00000021248","SLC12A9"
"5935","ENSMMUG00000021252.4","ENSMMUG00000021252","TRIP6"
"5936","ENSMMUG00000021254.4","ENSMMUG00000021254",""
"5937","ENSMMUG00000021255.4","ENSMMUG00000021255","SRRT"
"5938","ENSMMUG00000021289.4","ENSMMUG00000021289","LAMB4"
"5939","ENSMMUG00000021293.4","ENSMMUG00000021293","NRCAM"
"5940","ENSMMUG00000021301.4","ENSMMUG00000021301","PLRG1"
"5941","ENSMMUG00000021302.4","ENSMMUG00000021302","FGB"
"5942","ENSMMUG00000021303.4","ENSMMUG00000021303","FGA"
"5943","ENSMMUG00000021304.4","ENSMMUG00000021304","FGG"
"5944","ENSMMUG00000021347.4","ENSMMUG00000021347","LARP1B"
"5945","ENSMMUG00000021359.4","ENSMMUG00000021359","PDHA2"
"5946","ENSMMUG00000021371.4","ENSMMUG00000021371","GATA2"
"5947","ENSMMUG00000021389.4","ENSMMUG00000021389","PDK4"
"5948","ENSMMUG00000021461.4","ENSMMUG00000021461","CUX1"
"5949","ENSMMUG00000021507.4","ENSMMUG00000021507","C2H3orf38"
"5950","ENSMMUG00000021542.4","ENSMMUG00000021542","FEZF1"
"5951","ENSMMUG00000021543.4","ENSMMUG00000021543","CADPS2"
"5952","ENSMMUG00000021567.4","ENSMMUG00000021567","NXPE3"
"5953","ENSMMUG00000021570.3","ENSMMUG00000021570",""
"5954","ENSMMUG00000021592.4","ENSMMUG00000021592","FEZF2"
"5955","ENSMMUG00000021607.4","ENSMMUG00000021607","ZNF589"
"5956","ENSMMUG00000021620.4","ENSMMUG00000021620","ERC2"
"5957","ENSMMUG00000021627.4","ENSMMUG00000021627",""
"5958","ENSMMUG00000021650.4","ENSMMUG00000021650","CARD11"
"5959","ENSMMUG00000021676.4","ENSMMUG00000021676","SVOPL"
"5960","ENSMMUG00000021678.4","ENSMMUG00000021678","PCLO"
"5961","ENSMMUG00000021684.4","ENSMMUG00000021684","SP4"
"5962","ENSMMUG00000021695.4","ENSMMUG00000021695","MRFAP1"
"5963","ENSMMUG00000021722.4","ENSMMUG00000021722","ST7"
"5964","ENSMMUG00000021726.4","ENSMMUG00000021726","ASZ1"
"5965","ENSMMUG00000021730.4","ENSMMUG00000021730","SEMA3D"
"5966","ENSMMUG00000021762.4","ENSMMUG00000021762","TLR3"
"5967","ENSMMUG00000021777.4","ENSMMUG00000021777","COMMD8"
"5968","ENSMMUG00000021778.4","ENSMMUG00000021778","ATP10D"
"5969","ENSMMUG00000021779.4","ENSMMUG00000021779","CORIN"
"5970","ENSMMUG00000021780.4","ENSMMUG00000021780","NFXL1"
"5971","ENSMMUG00000021804.4","ENSMMUG00000021804","ATG7"
"5972","ENSMMUG00000021806.4","ENSMMUG00000021806","VGLL4"
"5973","ENSMMUG00000021835.4","ENSMMUG00000021835","USO1"
"5974","ENSMMUG00000021839.4","ENSMMUG00000021839","GRID2IP"
"5975","ENSMMUG00000021858.4","ENSMMUG00000021858","CHODL"
"5976","ENSMMUG00000021859.4","ENSMMUG00000021859","ZPLD1"
"5977","ENSMMUG00000021886.4","ENSMMUG00000021886","MRFAP1L1"
"5978","ENSMMUG00000021887.4","ENSMMUG00000021887","S100P"
"5979","ENSMMUG00000021912.4","ENSMMUG00000021912","TMEM192"
"5980","ENSMMUG00000021915.4","ENSMMUG00000021915","SNX13"
"5981","ENSMMUG00000021988.4","ENSMMUG00000021988","NAA11"
"5982","ENSMMUG00000021998.4","ENSMMUG00000021998","MAML3"
"5983","ENSMMUG00000021999.4","ENSMMUG00000021999","MGST2"
"5984","ENSMMUG00000022003.4","ENSMMUG00000022003","MMRN1"
"5985","ENSMMUG00000022018.4","ENSMMUG00000022018","TDO2"
"5986","ENSMMUG00000022019.4","ENSMMUG00000022019","CTSO"
"5987","ENSMMUG00000022025.4","ENSMMUG00000022025","RAB28"
"5988","ENSMMUG00000022027.4","ENSMMUG00000022027","BOD1L1"
"5989","ENSMMUG00000022072.4","ENSMMUG00000022072","NUDT1"
"5990","ENSMMUG00000022074.4","ENSMMUG00000022074","SNX8"
"5991","ENSMMUG00000022099.4","ENSMMUG00000022099","AMBN"
"5992","ENSMMUG00000022107.4","ENSMMUG00000022107","PDE9A"
