,quantile,sample,celltype,values
222,1,A0057_S117_L002,Neutro,0.005641737
223,1,A0057_S117_L002,Plasma BC,0.017712196
224,1,A0057_S117_L002,Pre BC,0.016960187
225,1,A0071_S116_L002,CD4+ TC,0.03977622
226,1,A0071_S116_L002,CD8+ TC,0.051943086
227,1,A0071_S116_L002,Cycling,0.031771258
228,1,A0071_S116_L002,Mature BC,0.65357256
229,1,A0071_S116_L002,Mono,0.08001739
230,1,A0071_S116_L002,NK,0.025637811
231,1,A0071_S116_L002,Neutro,0.004250675
232,1,A0071_S116_L002,Plasma BC,0.028046615
233,1,A0071_S116_L002,Pre BC,0.06161875
234,1,A0085_S115_L002,CD4+ TC,0.07304814
235,1,A0085_S115_L002,CD8+ TC,0.0824945
236,1,A0085_S115_L002,Cycling,0.07997498
237,1,A0085_S115_L002,Mature BC,0.49720457
238,1,A0085_S115_L002,Mono,0.12225779
239,1,A0085_S115_L002,NK,0.032737765
240,1,A0085_S115_L002,Neutro,0.0047972556
241,1,A0085_S115_L002,Plasma BC,0.024311481
242,1,A0085_S115_L002,Pre BC,0.05906861
243,1,A0099_S114_L002,CD4+ TC,0.07844051
244,1,A0099_S114_L002,CD8+ TC,0.079499386
245,1,A0099_S114_L002,Cycling,0.066019796
246,1,A0099_S114_L002,Mature BC,0.6147235
247,1,A0099_S114_L002,Mono,0.07486765
248,1,A0099_S114_L002,NK,0.020166898
249,1,A0099_S114_L002,Neutro,0.005558541
250,1,A0099_S114_L002,Plasma BC,0.007668048
251,1,A0099_S114_L002,Pre BC,0.02804725
252,1,A0113_S113_L002,CD4+ TC,0.062181935
253,1,A0113_S113_L002,CD8+ TC,0.079689234
254,1,A0113_S113_L002,Cycling,0.0018716226
255,1,A0113_S113_L002,Mature BC,0.6761465
256,1,A0113_S113_L002,Mono,0.106609166
257,1,A0113_S113_L002,NK,0.022942754
258,1,A0113_S113_L002,Neutro,0.0032579913
259,1,A0113_S113_L002,Plasma BC,0.014503077
260,1,A0113_S113_L002,Pre BC,0.010910744
261,1,A0127_S112_L002,CD4+ TC,0.06669317
262,1,A0127_S112_L002,CD8+ TC,0.10281359
263,1,A0127_S112_L002,Cycling,0.039001945
264,1,A0127_S112_L002,Mature BC,0.5125453
265,1,A0127_S112_L002,Mono,0.19144543
266,1,A0127_S112_L002,NK,0.016838899
267,1,A0127_S112_L002,Neutro,0.0054134075
268,1,A0127_S112_L002,Plasma BC,0.012872754
269,1,A0127_S112_L002,Pre BC,0.021644175
270,1,A0141_S111_L002,CD4+ TC,0.04915431
271,1,A0141_S111_L002,CD8+ TC,0.057945654
272,1,A0141_S111_L002,Cycling,0.026920885
273,1,A0141_S111_L002,Mature BC,0.5458325
274,1,A0141_S111_L002,Mono,0.09861627
275,1,A0141_S111_L002,NK,0.024166668
276,1,A0141_S111_L002,Neutro,0.005660523
277,1,A0141_S111_L002,Plasma BC,0.045670837
278,1,A0141_S111_L002,Pre BC,0.1201324
279,1,A0169_S109_L002,CD4+ TC,0.04180163
280,1,A0169_S109_L002,CD8+ TC,0.0650001
281,1,A0169_S109_L002,Cycling,0.020402994
282,1,A0169_S109_L002,Mature BC,0.408178
283,1,A0169_S109_L002,Mono,0.36936992
284,1,A0169_S109_L002,NK,0.0432674
285,1,A0169_S109_L002,Neutro,0.004398637
286,1,A0169_S109_L002,Plasma BC,0.020862248
287,1,A0169_S109_L002,Pre BC,0.005641118
288,1,A0183_S108_L002,CD4+ TC,0.025701476
289,1,A0183_S108_L002,CD8+ TC,0.016490676
290,1,A0183_S108_L002,Cycling,0.0014734301
291,1,A0183_S108_L002,Mature BC,0.5128864
292,1,A0183_S108_L002,Mono,0.31289908
293,1,A0183_S108_L002,NK,0.018107858
294,1,A0183_S108_L002,Neutro,0.0036375956
295,1,A0183_S108_L002,Plasma BC,0.02355887
296,1,A0183_S108_L002,Pre BC,0.06530438
297,1,A0197_S107_L002,CD4+ TC,0.050735317
298,1,A0197_S107_L002,CD8+ TC,0.07088979
299,1,A0197_S107_L002,Cycling,0.07402379
300,1,A0197_S107_L002,Mature BC,0.20842443
301,1,A0197_S107_L002,Mono,0.38500237
302,1,A0197_S107_L002,NK,0.036919277
303,1,A0197_S107_L002,Neutro,0.0076957345
304,1,A0197_S107_L002,Plasma BC,0.04762207
305,1,A0197_S107_L002,Pre BC,0.0868949
306,1,A0211_S106_L002,CD4+ TC,0.050109778
307,1,A0211_S106_L002,CD8+ TC,0.033177286
308,1,A0211_S106_L002,Cycling,0.006540994
309,1,A0211_S106_L002,Mature BC,0.50737715
310,1,A0211_S106_L002,Mono,0.2609821
311,1,A0211_S106_L002,NK,0.02776539
312,1,A0211_S106_L002,Neutro,0.0027992027
313,1,A0211_S106_L002,Plasma BC,0.030435234
314,1,A0211_S106_L002,Pre BC,0.060321063
315,1,A0225_S24_L001,CD4+ TC,0.0344083
316,1,A0225_S24_L001,CD8+ TC,0.05883251
317,1,A0225_S24_L001,Cycling,0.011610517
318,1,A0225_S24_L001,Mature BC,0.4577997
319,1,A0225_S24_L001,Mono,0.2802016
320,1,A0225_S24_L001,NK,0.031550054
321,1,A0225_S24_L001,Neutro,0.0039721
322,1,A0225_S24_L001,Plasma BC,0.04026545
323,1,A0225_S24_L001,Pre BC,0.056435328
324,1,A0239_S23_L001,CD4+ TC,0.07933982
325,1,A0239_S23_L001,CD8+ TC,0.08581913
326,1,A0239_S23_L001,Cycling,0.07353388
327,1,A0239_S23_L001,Mature BC,0.5714924
328,1,A0239_S23_L001,Mono,0.055425502
329,1,A0239_S23_L001,NK,0.0166669
330,1,A0239_S23_L001,Neutro,0.004852904
331,1,A0239_S23_L001,Plasma BC,0.010852901
332,1,A0239_S23_L001,Pre BC,0.07767523
333,1,A0253_S22_L001,CD4+ TC,0.0615258
334,1,A0253_S22_L001,CD8+ TC,0.093408614
335,1,A0253_S22_L001,Cycling,0.007549204
336,1,A0253_S22_L001,Mature BC,0.61356336
337,1,A0253_S22_L001,Mono,0.08218683
338,1,A0253_S22_L001,NK,0.029825576
339,1,A0253_S22_L001,Neutro,0.004085454
340,1,A0253_S22_L001,Plasma BC,0.023603898
341,1,A0253_S22_L001,Pre BC,0.064006686
342,1,A0267_S11_L001,CD4+ TC,0.06684123
343,1,A0267_S11_L001,CD8+ TC,0.10375625
344,1,A0267_S11_L001,Cycling,0.00091448164
345,1,A0267_S11_L001,Mature BC,0.6458171
346,1,A0267_S11_L001,Mono,0.060407776
